Accession,Pangolin,PangoVersions,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Release_Date
PQ094877.1,P.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29580,complete,"Brazil: Sao Jose do Rio Preto, Sao Paulo",Brazil,Homo sapiens,2021-03-05,2024-12-01
PQ094878.1,P.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29580,partial,"Brazil: Sao Jose do Rio Preto, Sao Paulo",Brazil,Homo sapiens,2021-03-05,2024-12-01
PQ635229.1,B.1.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29540,partial,USA: Illinois,USA,Homo sapiens,2021-03-05,2024-11-22
PQ635244.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29521,partial,USA: Georgia,USA,Homo sapiens,2021-03-05,2024-11-22
PQ617420.1,B.1.234,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29778,complete,USA,USA,Homo sapiens,2021-03-05,2024-11-19
OZ289437.1,B.1.221,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29901,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-06,2025-07-31
OZ289488.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29885,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-06,2025-07-31
OZ289494.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-06,2025-07-31
OZ289720.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29893,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-06,2025-07-31
OZ289727.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29893,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-06,2025-07-31
OZ289729.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29893,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-06,2025-07-31
PQ964260.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29784,partial,"USA: New York, Astoria",USA,Homo sapiens,2021-03-06,2025-01-22
PQ964288.1,B.1.1.434,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29771,complete,"USA: New York, Jamaica",USA,Homo sapiens,2021-03-06,2025-01-22
PQ964289.1,B.1.526,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29761,complete,"USA: New York, New York",USA,Homo sapiens,2021-03-06,2025-01-22
PQ964429.1,B.1.637,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29757,complete,"USA: New York, Flushing",USA,Homo sapiens,2021-03-06,2025-01-22
PQ966876.1,B.1.526,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29739,complete,USA: New York,USA,Homo sapiens,2021-03-06,2025-01-22
PQ967019.1,B.1.526,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29760,complete,USA: New York,USA,Homo sapiens,2021-03-06,2025-01-22
PQ969417.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29788,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969418.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29765,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969419.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29785,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969420.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29783,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969421.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29777,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969422.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29792,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969423.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29779,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969645.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29783,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969647.1,P.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29806,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969648.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29788,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ969710.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29826,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ974126.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29819,partial,France,France,Homo sapiens,2021-03-06,2025-01-22
PQ999219.1,B.1.1.519,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29803,complete,"Mexico: Yucatan, Valladolid",Mexico,Homo sapiens,2021-03-06,2025-01-22
PQ999220.1,B.1.1.519,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29803,complete,"Mexico: Yucatan, Kanasin",Mexico,Homo sapiens,2021-03-06,2025-01-22
PQ617421.1,B.1.234,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29778,complete,USA,USA,Homo sapiens,2021-03-06,2024-11-19
OZ289424.1,B.1.177.81,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289431.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289441.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289451.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29885,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289456.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289461.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289474.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289485.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289487.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289501.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289502.1,B.1.351,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29885,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289508.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289522.1,B.1.525,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29876,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289525.1,B.1.525,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29877,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289526.1,B.1.160,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289528.1,B.1.221,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289535.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289562.1,B.1.177.86,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29902,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289572.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289573.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289574.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289575.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289578.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289581.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289582.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289585.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29901,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289591.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289593.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289600.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289612.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29885,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289623.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29900,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289625.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289633.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289635.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289636.1,B.1.1.297,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29889,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289637.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289638.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29883,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289639.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289640.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289641.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29885,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289642.1,B.1.160,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289643.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29883,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289644.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289645.1,B.1.177.81,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289646.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289647.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289648.1,C.35,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289649.1,B.1.177,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289650.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289651.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289652.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289653.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289654.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289655.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289656.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289657.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29902,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289658.1,B.1.221,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289659.1,B.1.525,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29878,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289660.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289661.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29904,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289663.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289664.1,B.1.177.86,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289665.1,B.1.177.81,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289666.1,B.1.177.86,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289667.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289671.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289672.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289673.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289678.1,B.1.525,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29877,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289681.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289719.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289757.1,B.1.177.86,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29902,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289768.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29902,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289805.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289859.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289879.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289935.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289986.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289988.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289989.1,B.1.177.77,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29902,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289990.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289991.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289992.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289993.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29893,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289994.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289995.1,unclassifiable,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29893,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289996.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289997.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289998.1,B.1.160,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ289999.1,B.1.221,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290000.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290001.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290002.1,B.1.221,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290003.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29883,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290004.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290005.1,B.1.177.81,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290006.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290007.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290008.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290009.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29884,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290010.1,B.1.177.86,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290011.1,B.1.177.81,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29896,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
OZ290012.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29883,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Germany,Homo sapiens,2021-03-07,2025-07-31
